"","DMA","Dota.2","League.of.Legends","Fortnite","Overwatch","Call.of.Duty","CSGo","HotS","Starcraft","Halo.5","Trump.2016.Vote."
"74","Eureka CA",1,4,69,18,8,NA,21,62,17,34.44
"75","Boise ID",1,5,69,16,9,NA,20,58,22,55.59
"76","Reno NV",1,5,68,17,9,NA,16,54,30,51.55
"77","Salisbury MD",1,3,75,12,9,NA,16,63,21,57.38
"78","Baltimore MD",1,4,72,15,8,NA,25,51,24,39.28
"79","Colorado Springs-Pueblo CO",1,5,67,16,11,NA,17,57,26,55.71
"80","Rapid City SD",1,6,68,15,10,NA,25,49,26,66.94
"81","New York NY",1,4,74,14,7,1,20,53,26,35.24
"82","Houston TX",1,4,73,13,9,1,18,47,35,49.76
"83","West Palm Beach-Ft. Pierce FL",1,4,75,13,7,NA,21,48,31,45.87
"84","Orlando-Daytona Beach-Melbourne FL",1,4,71,16,8,1,21,48,31,49.22
"85","Tucson (Sierra Vista) AZ",1,5,69,16,9,NA,27,49,24,40.89
"86","Denver CO",1,4,72,15,8,1,16,56,28,40.73
"87","Norfolk-Portsmouth-Newport News VA",1,4,70,15,10,NA,25,49,26,44
"88","Tampa-St. Petersburg (Sarasota) FL",1,4,72,15,8,1,16,52,31,52.1
"89","Dallas-Ft. Worth TX",1,4,72,14,9,1,18,48,33,53.5
"90","Atlanta GA",1,3,75,12,9,1,15,52,32,47.58
"91","Tallahassee FL-Thomasville GA",1,4,72,15,8,NA,21,50,29,48.52
"92","Nashville TN",1,3,74,12,10,NA,17,49,34,60.71
"93","Medford-Klamath Falls OR",1,6,69,15,9,NA,17,53,30,55.46
"94","Jacksonville FL",1,4,71,15,9,NA,20,48,32,58.92
"95","Tyler-Longview(Lufkin & Nacogdoches) TX",1,4,72,12,11,NA,15,49,36,72.8
"96","Albuquerque-Santa Fe NM",1,3,71,15,10,NA,10,52,38,39.58
